"","id","name","artist","album","duration_ms","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","participant","time_stamp","progress_ms","percent_listened","log_percent_listened","sqrt_percent_listened","on_dw","song_saved","added_to_playlist","artist_searched","other_songs_by_artist","norm_danceability","norm_energy","norm_loudness","norm_speechiness","norm_instrumentalness","norm_liveness","norm_valence","norm_tempo","feature_similarity","normalized_feature_similarity","add_odds"
"21","7qqGg2wQzTxrRhWadE8owN","Fro","Luna Luna","Fro",230250,"spotify:track:7qqGg2wQzTxrRhWadE8owN",0.478,0.578,7,-10.11,1,0.039,0.31,0.000328,0.11,0.614,80.018,4,"gRfhwl0hGA",13267528,88714,0.385294245385451,-0.953747962874353,0.620720746701325,TRUE,TRUE,TRUE,FALSE,0,-0.993907205725313,0.156699461527755,-0.470984915440304,-0.589417283178056,-0.376804405732574,-0.480353553115824,0.591605270615118,-1.20929661542767,0.999085403851968,0.230583978888654,Inf
"22","1m9lPE5PuLOpKrXiregVW0","Downside","Oscar Scheller","Downside",210285,"spotify:track:1m9lPE5PuLOpKrXiregVW0",0.818,0.534,0,-12.729,0,0.103,0.484,0.0796,0.101,0.705,104.995,4,"gRfhwl0hGA",3344475,209393,0.995758137765414,-0.00425088445524581,0.997876814925276,TRUE,TRUE,TRUE,FALSE,0,1.26854741960194,-0.076507270551987,-1.25955821662295,0.0223712845649034,0.0230672615922034,-0.561865509725752,0.999304394230935,-0.378696075890479,0.999286384023677,0.56736798873065,Inf
"23","1m9lPE5PuLOpKrXiregVW0","Downside","Oscar Scheller","Downside",210285,"spotify:track:1m9lPE5PuLOpKrXiregVW0",0.818,0.534,0,-12.729,0,0.103,0.484,0.0796,0.101,0.705,104.995,4,"gRfhwl0hGA",13236543,145033,0.689697315547947,-0.37150245075495,0.830480171676571,TRUE,TRUE,TRUE,FALSE,0,1.26854741960194,-0.076507270551987,-1.25955821662295,0.0223712845649034,0.0230672615922034,-0.561865509725752,0.999304394230935,-0.378696075890479,0.999286384023677,0.56736798873065,Inf
"24","7vA7BaPdYpdJtt8zVJaqy8","Cover Under Comfort","Lillian Blue Makin","Cover Under Comfort",236269,"spotify:track:7vA7BaPdYpdJtt8zVJaqy8",0.722,0.387,9,-5.393,0,0.288,0.379,2.46e-06,0.105,0.45,84.975,4,"gRfhwl0hGA",8053087,171,0.000723751317354372,-7.23106270889997,0.0269026265883904,TRUE,FALSE,FALSE,FALSE,0,0.629736701862478,-0.855629761818401,0.949290098564488,1.7908226131969,-0.378446526816701,-0.525637973454673,-0.143149193923277,-1.04445348476803,0.999778402138265,-0.12783271536633,0
"25","0TKEbCzuFhM8KFBqsiihp3","Dining With My Head at the Table","Franny London","Dining With My Head at the Table",233870,"spotify:track:0TKEbCzuFhM8KFBqsiihp3",0.739,0.405,2,-9.537,0,0.0403,0.194,5.5e-06,0.0889,0.235,124.062,4,"gRfhwl0hGA",8074739,10291,0.0440030786334288,-3.12349567857002,0.209769107910171,TRUE,FALSE,FALSE,FALSE,0,0.74285943312884,-0.760227007785778,-0.298456277953608,-0.576990327895778,-0.378431192147856,-0.671453806945767,-1.10639437609251,0.255369684102942,0.999969146088296,0.577347859985338,0
"26","0TKEbCzuFhM8KFBqsiihp3","Dining With My Head at the Table","Franny London","Dining With My Head at the Table",233870,"spotify:track:0TKEbCzuFhM8KFBqsiihp3",0.739,0.405,2,-9.537,0,0.0403,0.194,5.5e-06,0.0889,0.235,124.062,4,"gRfhwl0hGA",8323366,233870,1,-Inf,0,TRUE,FALSE,FALSE,FALSE,0,0.74285943312884,-0.760227007785778,-0.298456277953608,-0.576990327895778,-0.378431192147856,-0.671453806945767,-1.10639437609251,0.255369684102942,0.999969146088296,0.577347859985338,0
"27","3EW3fvwnGoVvLPgAPFqaMJ","Into You","TC Superstar","R & D",350357,"spotify:track:3EW3fvwnGoVvLPgAPFqaMJ",0.846,0.363,0,-9.807,1,0.0683,0.288,0.16,0.101,0.648,106.02,4,"gRfhwl0hGA",8690143,350357,1,-Inf,0,TRUE,TRUE,TRUE,FALSE,0,1.45486721227594,-0.982833433861897,-0.379752494570376,-0.309332829508233,0.428628898146246,-0.561865509725752,0.743932415702346,-0.344610094666729,0.999959624618638,0.70263439611379,Inf
"28","28cBt86GEGR1JvsTz5jaoc","20","Blue Nude","20",285894,"spotify:track:28cBt86GEGR1JvsTz5jaoc",0.387,0.306,0,-10.421,1,0.0855,0.0284,2.71e-05,0.138,0.218,172.043,3,"gRfhwl0hGA",9022486,285894,1,-Inf,0,TRUE,TRUE,TRUE,FALSE,0,-1.59944653191584,-1.2849421549652,-0.564626113098877,-0.144914651927312,-0.378322235290274,-0.226760799218268,-1.18255794863613,1.85095940614859,0.999680565050327,-0.0968265966873796,Inf
"29","4kVoojknoRgLf2X6AForTQ","Blue Valentine","niña","Blue Valentine",171000,"spotify:track:4kVoojknoRgLf2X6AForTQ",0.664,0.837,1,-7.429,1,0.03,0.108,0.00153,0.342,0.91,116.12,4,"gRfhwl0hGA",9408768,171000,1,-Inf,0,TRUE,FALSE,FALSE,FALSE,0,0.243788559894888,1.52943908899715,0.336256405854343,-0.67545005051691,-0.370741158380112,1.62084355060678,1.91774747490393,-0.00873847480342737,0.999784981244454,-0.389822125422278,0
"30","0vK72d2vgcmM6RYxPWAXIT","Sweet Coffee","Cook Thugless","Sweet Coffee",203720,"spotify:track:0vK72d2vgcmM6RYxPWAXIT",0.4,0.445,5,-11.466,0,0.122,0.693,0.0162,0.109,0.152,84.117,4,"gRfhwl0hGA",9408817,197693,0.97041527586884,-0.0300311796492816,0.985096582000384,TRUE,FALSE,FALSE,FALSE,0,-1.51294091388862,-0.548220887713285,-0.879272581115626,0.203996015613595,-0.296741292605885,-0.489410437183594,-1.47825181851134,-1.0729859451485,0.998672128147731,0.128397740049577,0
